Código,Artículo,VTA
2001,BIFE DE CERDO,"6,330.00"
2002,BONDIOLA DE CERDO,"8,440.00"
2003,CARNE PICADA DE CERDO,"5,510.00"
2004,CARRE DE CERDO,"7,520.00"
2005,CHULETONES DE CERDO,"6,240.00"
2006,CHURRASQUITO DE CERDO,"7,530.00"
2007,CUADRADA DE CERDO,"6,610.00"
2008,CORTE AMERICANO DE CERDO,"6,330.00"
2009,ENTRAÑA DE CERDO,"8,720.00"
2010,LENGUA DE CERDO,"1,840.00"
2011,MATAMBRE DE CERDO,"13,300.00"
2012,NALGA DE CERDO,"5,960.00"
2013,PANCETA FRESCA,"7,530.00"
2014,PATITAS DE CERDO,"1,380.00"
2015,PECETO DE CERDO,"6,610.00"
2016,PECHITO DE CERDO,"6,890.00"
2017,SOLOMILLO DE CERDO,"8,260.00"
2018,TAPA DE ASADO DE CERDO,"7,530.00"
2019,VACIO DE CERDO,"8,170.00"
2020,COSTELETA DE CERDO,"5,870.00"
2021,PERNIL,"4,500.00"
,,
,,
2100,AGUJA,"16,330.00"
2101,ARAÑITA,"18,710.00"
2102,ASADO,"20,980.00"
2103,BIFE DE CHORIZO,"29,990.00"
2104,BOLA DE LOMO,"21,950.00"
2105,CARNE PICADA DE TERNERA,"14,550.00"
2106,CHULETA,"20,740.00"
2107,COLITA DE CUADRIL,"26,400.00"
2108,CORTE AMERICANO,"19,310.00"
2109,CUADRADA,"19,000.00"
2110,CUADRIL,"23,900.00"
2111,ENTRAÑA,"23,900.00"
2112,FALDA,"13,920.00"
2113,FALDA DESHUESADA,"23,380.00"
2114,LOMO,"28,910.00"
2115,MARUCHA,"23,290.00"
2116,MATAMBRE  DE TERNERA,"21,000.00"
2117,NALGA,"23,900.00"
2118,OJO DE BIFE,"25,140.00"
2119,OSOBUCO,"13,820.00"
2120,PALETA,"18,590.00"
2121,PALOMITA,"14,450.00"
2122,PECETO,"27,590.00"
2123,PICAÑA,"25,590.00"
2124,ROAST BEEF,"16,330.00"
2125,TAPA DE ASADO,"27,690.00"
2126,TAPA DE NALGA,"19,890.00"
2127,TAPA DE PALETA,"21,470.00"
2128,TORTUGUITA,"18,230.00"
2129,VACIO,"28,690.00"
,,
2500,LONGANIZA,"17,900.00"
2201,CHORIZO PURO CERDO,"7,700.00"
2202,SALCHICHA PARILLERA,"9,100.00"
2203,MORCILLA,"5,950.00"
2204,MORCILLA BOMBON,"6,950.00"
2205,CHORIZO CON QUESO,"7,700.00"
2206,MORCILLA VASCA ,"6,560.00"
2207,CHORIZO bombon ,"8,320.00"
2208,CHORIZO ESPECIAL VACUNO,"7,920.00"
,,
2209,MILANESA DE CERDO,"6,790.00"
2210,MILANESA DE TERNERA,"15,090.00"
2211,HAMBURGUESA DE CERDO,"7,300.00"
2212,HAMBURGUESA DE TERNERA,"16,050.00"
,,
,,
2302,HIGADO,"4,750.00"
2303,MOLLEJA,"36,000.00"
2304,LENGUA,"14,500.00"
2305,CHINCHULIN,"6,500.00"
2306,TRIPA GORDA,"2,900.00"
2307,RIÑON,"5,990.00"
2310,HAMBUERGUESA DE POLLO,"9,500.00"
2400,POLLO DE CAMPO ENTERO,"8,000.00"
2401,POLLO DE CAMPO MITAD,"9,000.00"
2990,BIFE CON HUESO,"5,445.00"
2991,Cuartos,"7,744.00"
2501,Milanesa de pollo,"9,050.00"
2502,HAMBURGUESA DE POLLO,"7,500.00"
